,online,reservations,rating,votes,location,rest_type,cost_for_two,type
0,Yes,Yes,4.1,775,Banashankari,Casual Dining,800.0,Buffet
1,Yes,No,4.1,787,Banashankari,Casual Dining,800.0,Buffet
2,Yes,No,3.8,918,Banashankari,Other,800.0,Buffet
3,No,No,3.7,88,Banashankari,Quick Bites,300.0,Buffet
4,No,No,3.8,166,Basavanagudi,Casual Dining,600.0,Buffet
5,Yes,No,3.8,286,Basavanagudi,Casual Dining,600.0,Buffet
6,No,No,3.6,8,Mysore Road,Casual Dining,800.0,Buffet
7,Yes,Yes,4.6,2556,Banashankari,Other,600.0,Cafes
8,Yes,No,4.0,324,Banashankari,Cafe,700.0,Cafes
9,Yes,No,4.2,504,Banashankari,Cafe,550.0,Cafes
10,Yes,No,4.1,402,Banashankari,Cafe,500.0,Cafes
11,Yes,Yes,4.2,150,Banashankari,Cafe,600.0,Cafes
12,Yes,Yes,4.2,164,Banashankari,Cafe,500.0,Cafes
13,No,No,4.0,424,Banashankari,Cafe,450.0,Cafes
14,Yes,No,3.8,918,Banashankari,Other,800.0,Cafes
15,Yes,No,3.8,90,Banashankari,Cafe,650.0,Cafes
16,Yes,No,3.9,133,Banashankari,Cafe,800.0,Cafes
17,Yes,No,3.8,144,Banashankari,Cafe,700.0,Cafes
18,No,No,3.9,93,Banashankari,Cafe,300.0,Cafes
19,Yes,No,3.1,13,Banashankari,Cafe,400.0,Cafes
20,Yes,No,3.0,62,Banashankari,Cafe,400.0,Cafes
21,Yes,No,3.7,180,Banashankari,Cafe,500.0,Cafes
22,No,No,3.6,28,Banashankari,Cafe,900.0,Cafes
23,Yes,No,3.6,62,Banashankari,Other,600.0,Cafes
24,No,No,3.7,31,Banashankari,Cafe,300.0,Cafes
25,No,No,3.2,11,Banashankari,Cafe,600.0,Cafes
26,Yes,No,3.8,75,Banashankari,Other,200.0,Cafes
27,No,No,3.3,4,Banashankari,Cafe,500.0,Cafes
28,No,No,3.3,23,Banashankari,Cafe,550.0,Cafes
29,No,No,3.8,148,Basavanagudi,Other,550.0,Cafes
30,Yes,No,4.0,219,Basavanagudi,Cafe,600.0,Cafes
31,Yes,No,2.8,506,Banashankari,Quick Bites,500.0,Delivery
32,Yes,No,3.9,35,Banashankari,Delivery,500.0,Delivery
33,Yes,No,3.9,172,Banashankari,Delivery,750.0,Delivery
34,Yes,No,4.2,415,Banashankari,Quick Bites,500.0,Delivery
35,Yes,No,3.9,230,Banashankari,Delivery,650.0,Delivery
36,Yes,No,2.8,91,Banashankari,Quick Bites,400.0,Delivery
37,Yes,No,4.2,1647,Banashankari,Casual Dining,600.0,Delivery
38,Yes,No,4.4,4884,Jayanagar,Casual Dining,750.0,Delivery
39,Yes,No,4.0,17,Banashankari,Quick Bites,150.0,Delivery
40,Yes,No,3.8,133,Basavanagudi,Quick Bites,200.0,Delivery
41,No,No,3.9,28,Banashankari,Other,300.0,Delivery
42,Yes,No,3.9,286,Banashankari,Quick Bites,500.0,Delivery
43,Yes,No,3.9,540,Banashankari,Quick Bites,800.0,Delivery
44,Yes,Yes,4.6,2556,Banashankari,Other,600.0,Delivery
45,No,No,3.8,36,Banashankari,Delivery,400.0,Delivery
46,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,300.0,Delivery
47,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,450.0,Delivery
48,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,850.0,Delivery
49,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,300.0,Delivery
50,No,No,3.7,21,Banashankari,Quick Bites,450.0,Delivery
51,Yes,No,4.1,28,Vijay Nagar,Quick Bites,150.0,Delivery
52,No,No,4.3,345,Banashankari,Dessert Parlor,400.0,Delivery
53,Yes,No,4.0,618,Jayanagar,Casual Dining,750.0,Delivery
54,No,No,4.0,1047,Banashankari,Quick Bites,450.0,Delivery
